"Task Aware Debugger for GDB" version 11.7.0 (202212092054)
(c) 2016-2022 NXP Semiconductors, Inc.
==================================
06:00:36.672 INFO: [TadModel] DSF session ID 2 has started.
06:00:40.803 INFO: [TadState] TAD state changed: DEBUG_STARTED -> DEBUG_INIT_0 (SUSPENDED, USER_REQUEST)
06:00:45.291 INFO: [TadState] TAD state changed: DEBUG_INIT_0 -> DEBUG_INIT_1 (RESUMED, USER_REQUEST)
06:00:45.359 INFO: [TadState] TAD state changed: DEBUG_INIT_1 -> DEBUG_SUSPENDED (SUSPENDED, BREAKPOINT)
06:01:09.264 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_RESUMED (RESUMED, USER_REQUEST)
06:02:26.78 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
06:03:19.493 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:03:19.537 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:03:24.741 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:03:24.773 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:03:25.315 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:03:25.320 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:03:26.713 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:03:26.718 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:03:27.239 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:03:27.246 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:03:30.643 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:03:30.674 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:03:33.313 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:03:33.320 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:03:34.631 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:03:34.642 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:03:42.838 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:03:42.843 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:05:35.899 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:05:35.912 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:05:40.31 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:05:40.38 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:06:08.966 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:06:08.978 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:06:16.749 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:06:16.756 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
06:06:18.422 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
06:06:18.450 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
